"","Game_Location","Game_Outcome","Points","Assists","Personal_Foul"
"1","Home","W",16,7,2
"2","Away","L",21,5,4
"3","Home","W",37,5,4
"4","Away","W",25,5,5
"5","Away","L",17,5,4
"6","Away","W",25,3,5
"7","Away","W",33,5,2
"8","Away","W",27,4,4
"9","Home","W",45,4,4
"10","Home","L",27,2,4
"11","Home","L",16,7,5
"12","Home","L",34,2,3
"13","Away","L",35,2,3
"14","Away","W",23,3,4
"15","Away","L",30,8,4
"16","Away","L",13,3,1
"17","Away","L",22,2,5
"18","Away","W",20,5,4
"19","Away","W",20,3,3
"20","Home","W",20,6,3
"21","Home","W",21,3,5
"22","Home","W",20,2,3
"23","Home","L",27,6,4
"24","Away","L",21,2,5
"25","Away","L",34,8,4
"26","Home","L",14,2,2
"27","Home","L",18,8,2
"28","Away","W",34,7,5
"29","Home","W",32,8,3
"30","Home","W",45,11,1
"31","Home","L",21,5,6
"32","Away","L",25,4,2
"33","Home","W",22,6,4
"34","Away","L",42,4,3
"35","Away","L",36,6,4
"36","Home","W",23,5,3
"37","Away","L",24,3,5
"38","Home","W",35,15,3
"39","Away","L",27,7,3
"40","Home","W",25,6,4
"41","Away","L",38,7,5
"42","Home","W",29,5,4
"43","Home","W",22,8,3
"44","Home","W",45,10,3
"45","Home","W",26,7,3
"46","Away","L",38,8,3
"47","Away","L",31,5,5
"48","Home","L",41,7,6
"49","Away","L",23,7,6
"50","Home","W",49,5,5
"51","Home","L",17,6,1
"52","Away","L",26,3,1
"53","Home","L",16,8,5
"54","Away","L",26,7,3
"55","Home","W",38,5,4
"56","Home","L",28,5,4
"57","Away","L",24,2,3
"58","Home","W",21,10,2
"59","Home","L",37,5,2
"60","Home","W",37,8,3
"61","Away","W",33,3,2
"62","Home","W",26,7,3
"63","Home","L",28,4,5
"64","Away","L",21,4,2
"65","Home","W",32,4,2
"66","Away","L",16,8,3
"67","Home","W",27,14,3
"68","Home","W",32,16,5
"69","Away","L",31,7,3
"70","Away","L",38,4,5
"71","Away","W",20,10,1
"72","Away","L",26,6,2
"73","Home","W",38,5,5
"74","Away","L",35,10,4
"75","Home","L",38,6,1
"76","Home","W",31,9,1
"77","Away","W",25,3,5
"78","Away","L",40,5,6
"79","Away","W",33,4,4
"80","Away","L",22,5,2
"81","Home","L",28,6,3
"82","Away","L",29,9,3
